title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,Column
Amandine,3.9,1408.0,G476+RX4,Niamey,,NE,https://www.facebook.com/restoamandine?mibextid=kFxxJD,+227 90 19 49 08,Restaurant,https://www.google.com/maps/search/?api=1&query=Amandine&query_place_id=ChIJV1ARW3N10BER6J0kOxlHusY,
Bab Salam Maurice Delens,3.9,1351.0,G3MW+WR4,Niamey,,NE,,+227 91 95 47 48,Restauration rapide,https://www.google.com/maps/search/?api=1&query=Bab%20Salam%20Maurice%20Delens&query_place_id=ChIJ9fnm9Id10BERPChpiuTGaK0,
Rawda,3.8,883.0,"G4H4+8R9, Bd du Zarmaganda",Niamey,,NE,,+227 88 66 80 20,Restaurant,https://www.google.com/maps/search/?api=1&query=Rawda&query_place_id=ChIJm1c7Do910BERneub3Z3U5JQ,
Le Moulin Restaurant Boulangerie Pâtisserie Alimentation,4.0,580.0,"H325+Q44, RN1",Niamey,,NE,,+227 82 94 94 75,Restaurant,https://www.google.com/maps/search/?api=1&query=Le%20Moulin%20Restaurant%20Boulangerie%20P%C3%A2tisserie%20Alimentation&query_place_id=ChIJMy68jG6d2hERVsNHqLy40x8,
RESTAURANT LE PILIER,4.2,559.0,rue de la tapoa,Niamey,,NE,,+227 77 83 82 82,Restaurant italien,https://www.google.com/maps/search/?api=1&query=RESTAURANT%20LE%20PILIER&query_place_id=ChIJKWbc5lZ10BERbeLjihFcT74,
Côté Jardin,4.3,557.0,G492+XRX,Niamey,,NE,http://www.cote-jardin-niamey.com/,+227 91 55 38 90,Restaurant,https://www.google.com/maps/search/?api=1&query=C%C3%B4t%C3%A9%20Jardin&query_place_id=ChIJIyZIYZx10BERMj8Q33zGyCU,
TABAKADY,4.1,505.0,Derriere stade seyni kountche,Niamey,,NE,,+227 90 90 65 44,Restaurant,https://www.google.com/maps/search/?api=1&query=TABAKADY&query_place_id=ChIJi-9H73t10BERSoenLFPhCoU,
New York Restaurant & Bar,4.6,488.0,Boulevard de la Republique,Niamey,,NE,https://www.radissonhotels.com/en-us/hotels/radisson-blu-conference-niamey,+227 23 23 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=New%20York%20Restaurant%20%26%20Bar&query_place_id=ChIJY3w2TGp10BERuLczkwbnN9U,
Restaurant Al-Mina,4.9,443.0,Boulevard de la Republique,Niamey,,NE,https://www.radissonhotels.com/en-us/hotels/radisson-blu-conference-niamey,+227 23 23 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Al-Mina&query_place_id=ChIJlxzVsNx10BERPmxYSaqj9Lk,
Boulangerie Rayan,3.9,380.0,Bd du Zarmaganda,Niamey,,NE,,+227 94 53 21 86,Boulangerie,https://www.google.com/maps/search/?api=1&query=Boulangerie%20Rayan&query_place_id=ChIJJ-huqLaf2hERLVJ469foFBo,
Cap Banga,4.0,355.0,"Route du barrage de Goudel, - BP11816",Niamey,,NE,http://www.facebook.com/capbanga,+227 80 09 11 11,Restaurant,https://www.google.com/maps/search/?api=1&query=Cap%20Banga&query_place_id=ChIJf4M-r-V10BERo5ZMp7bQOG0,
Cercle Mess des Officiers,3.7,298.0,F4VC+PHP,Niamey,,NE,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Cercle%20Mess%20des%20Officiers&query_place_id=ChIJA45OSxl10BER6vtp0fssLUc,
Restaurant Dragon D'or Niamey,3.9,279.0,,Niamey,,NE,,+227 90 00 14 37,Restaurant,https://www.google.com/maps/search/?api=1&query=Restaurant%20Dragon%20D'or%20Niamey&query_place_id=ChIJxyyGJgx10BER4TmVUC7DDA8,
Palais de chawarma,3.6,253.0,"G3MR+R3M, Blvd Mali Bero",Niamey,,NE,,+227 90 17 61 61,Restaurant diététique,https://www.google.com/maps/search/?api=1&query=Palais%20de%20chawarma&query_place_id=ChIJR8rZCwR10BER1yZfyJAFm2k,
